# Seconds per chain entry on Linux CI, from the entry lines of each shard of owner-chains run
# 36226049378 (tree 91418119d, 107 entries; an entry that ends its component also carries the
# next component's database reset), and for the operation-routing entry from the serial build run
# 36228219698 (tree 137afe272), and for the Dashboard RUN routing entry from owner-chains run
# 36235768765 (tree 88c758ea1). Re-measure when the chain changes shape.
replay_policy_catalog_postgres_v2::postgres_tests::catalog_admin_and_family_formation_are_atomic_and_fail_closed	9.7
legacy_replay_table_is_preserved_while_current_custody_commits_and_reads_back	9.8
origin_current_replay_table_renames_with_exact_v1_v2_read_continuity	9.3
product_edge_postgres::tests::fresh_rd_owner_migrates_before_qualification_writer_validates	4.5
durable_owner_is_atomic_restart_exact_and_fail_closed	10.1
owner::replay_market_facts_v2::postgres_tests::postgres_replay_composition_owner_is_atomic_exact_and_observes_reader_market_transaction_overlap	16.6
postgres_source_invocation_lifecycle_is_canonical_once_only_and_acl_sealed	5.2
tests::same_identity_started_retry_returns_http_ok_with_exact_custody_once	4.2
postgres::tests::genesis_admission_claim_cutover_and_revocation_are_canonical	9.1
postgres::tests::expired_manifest_recovery_rejoins_across_owners_and_preserves_old_rows	10.5
frozen_exploratory_replay_request_is_sealed_for_canonical_backtest_owner	24.3
market_data_owner_sealed_request_port_is_exact_serializable_and_runtime_immutable	6.6
replay_at_or_after_valid_through_writes_no_frozen_row_or_outbox	65.5
postgres_readback_rejects_tampered_raw_payload	5.4
tests::postgres_result_owner_is_atomic_restart_exact_and_rd_locked_read_only	1.5
tests::exploratory_replay_result_http_readback_is_exact_locked_and_rd_read_only	2.7
tests::replay_result_dashboard_read_api_returns_exact_canonical_bytes	1.3
tests::postgres_result_rd_read_rejects_function_source_drift	2.0
tests::postgres_result_rd_read_rejects_owner_api_routine_sibling	2.5
tests::postgres_result_rd_read_rejects_raw_table_acl_drift	2.0
tests::postgres_result_rd_read_rejects_inherited_owner_membership	2.1
tests::postgres_result_rd_read_rejects_owner_attribute_drift	2.1
tests::postgres_result_topology_fence_serializes_managed_acl_drift	5.7
tests::postgres_result_mid_commit_failure_rolls_back_every_aggregate_row	4.6
artifact_build_postgres::postgres_freshness_tests::specialized_artifact_admission_rechecks_locked_rd_view_at_final_cut	3.7
artifact_build_postgres::postgres_freshness_tests::governance_artifact_membership_readback_is_restart_exact_and_fail_closed	22.9
iteration_decision_postgres::postgres_acceptance_tests::successor_artifact_enters_exploratory_replay_with_exact_owner_custody	47.4
tests::strategy_source_browser_acceptance_reads_canonical_terminal_owner_custody	56.4
iteration_decision_postgres::postgres_acceptance_tests::repair_decision_action_and_market_data_request_commit_retry_resolve_and_rejection_are_atomic	6.3
replay_execution_profile_binding_v1::tests::verified_owner_readback_mints_provenance_and_wrong_coordinates_fail	4.7
postgres::tests::expired_manifest_recovery_sidecars_reject_unknown_constraints_without_catalog_mutation	5.0
atomic_exact_replay_restart_tamper_and_acl_fail_closed	4.2
program_host_bar_joined_cut_postgres_acceptance_tests::owner_postgres_v4_moves_through_program_host_and_real_backtest	11.4
iteration_decision_postgres::postgres_acceptance_tests::iteration_analysis_postgres_acceptance_tests::analysis_request_completion_resolve_restart_and_tamper_are_atomic	8.9
iteration_decision_postgres::postgres_acceptance_tests::positive_assessment_ready_decision_commit_retry_resolve_and_tamper_are_atomic	22.4
postgres::postgres_tests::protected_replay_request_is_atomic_retry_exact_and_backtest_sealed	0.3
tests::postgres_protected_result_is_atomic_request_bound_and_qualification_sealed	1.0
postgres::postgres_tests::negative_protected_attempt_closure_is_atomic_retry_exact_and_eligibility_absent	0.6
postgres::postgres_tests::diagnostic_protected_attempt_closure_is_atomic_and_creates_no_assessment_or_eligibility	0.4
product_edge_postgres::tests::bounded_feature_program_joint_freeze_is_atomic_idempotent_and_tamper_closed	9.7
product_edge_postgres::tests::declared_bounded_feature_program_assembles_from_owner_custody_and_freezes	7.8
postgres_migration_materializes_only_private_binary_authority	4.6
sealed_read_port_is_restart_exact_fail_closed_and_query_only	8.6
iteration_result_admission_postgres::tests::a_committed_admission_is_read_back_by_its_locator_and_never_created_by_one	4.5
iteration_result_admission_postgres::tests::a_locator_from_another_experiment_never_reads_this_admission_back	4.6
iteration_result_admission_postgres::tests::row_scalar_storage_or_outbox_tamper_closes_the_readback	5.1
iteration_result_admission_postgres::tests::a_malformed_request_never_reaches_owner_custody	4.3
postgres_owner_persists_one_family_and_replays_without_partial_conflict_writes	3.1
every_v2_semantic_rejection_is_rejection_only_and_replays_exactly	5.3
invalid_successor_cannot_poison_heads_and_verified_lineage_never_skips_corruption	4.0
concurrent_invalid_and_valid_same_scope_serialize_without_invalid_authority	2.7
exhaustive_lineage_waits_for_row_mutation_and_recovers_after_restore	3.4
stored_request_meaning_corruption_is_unavailable_until_exact_restoration	3.7
missing_research_custody_prepares_no_attempt	3.1
research_and_attempt_resolve_share_one_deadlock_free_lock_order	8.5
no_artifact_receipt_mutation_fails_closed_and_exact_restore_replays	7.4
expired_attempt_receipt_is_independently_outcome_unknown	6.8
market_data_repair_resolution_postgres::tests::repaired_readback_is_reverified_inside_successor_transaction	4.5
market_data_repair_resolution_postgres::tests::commit_retry_resolve_conflict_and_tamper_are_atomic	4.8
postgres::tests::portfolio_resource_grant_advisory_lock_serializes_distinct_grants	4.2
postgres::tests::portfolio_resource_grant_issue_read_replay_successor_revoke_restart_acl_and_expiry	7.9
