# Generated by scripts/ci/rd-owner-chain-shard-plan.py; do not edit by hand.
# 4 shards; planned seconds per shard: 251, 201, 201, 201
shard-3	replay_policy_catalog_postgres_v2::postgres_tests::catalog_admin_and_family_formation_are_atomic_and_fail_closed	replay_policy_catalog_postgres_v2::postgres_tests::catalog_admin_and_family_formation_are_atomic_and_fail_closed	0
shard-4	legacy_replay_table_is_preserved_while_current_custody_commits_and_reads_back	legacy_replay_table_is_preserved_while_current_custody_commits_and_reads_back	0
shard-2	origin_current_replay_table_renames_with_exact_v1_v2_read_continuity	origin_current_replay_table_renames_with_exact_v1_v2_read_continuity	0
shard-2	product_edge_postgres::tests::fresh_rd_owner_migrates_before_qualification_writer_validates	product_edge_postgres::tests::fresh_rd_owner_migrates_before_qualification_writer_validates	0
shard-2	durable_owner_is_atomic_restart_exact_and_fail_closed	durable_owner_is_atomic_restart_exact_and_fail_closed	0
shard-1	owner::replay_market_facts_v2::postgres_tests::postgres_replay_composition_owner_is_atomic_exact_and_observes_reader_market_transaction_overlap	owner::replay_market_facts_v2::postgres_tests::postgres_replay_composition_owner_is_atomic_exact_and_observes_reader_market_transaction_overlap	0
shard-2	postgres_source_invocation_lifecycle_is_canonical_once_only_and_acl_sealed	postgres_source_invocation_lifecycle_is_canonical_once_only_and_acl_sealed	0
shard-1	owner::replay_market_facts_v2::postgres_tests::postgres_replay_composition_owner_is_atomic_exact_and_observes_reader_market_transaction_overlap	tests::same_identity_started_retry_returns_http_ok_with_exact_custody_once	0
shard-4	postgres::tests::genesis_admission_claim_cutover_and_revocation_are_canonical	postgres::tests::genesis_admission_claim_cutover_and_revocation_are_canonical	0
shard-3	postgres::tests::expired_manifest_recovery_rejoins_across_owners_and_preserves_old_rows	postgres::tests::expired_manifest_recovery_rejoins_across_owners_and_preserves_old_rows	0
shard-2	frozen_exploratory_replay_request_is_sealed_for_canonical_backtest_owner	frozen_exploratory_replay_request_is_sealed_for_canonical_backtest_owner	0
shard-4	market_data_owner_sealed_request_port_is_exact_serializable_and_runtime_immutable	market_data_owner_sealed_request_port_is_exact_serializable_and_runtime_immutable	0
shard-3	replay_at_or_after_valid_through_writes_no_frozen_row_or_outbox	replay_at_or_after_valid_through_writes_no_frozen_row_or_outbox	0
shard-2	postgres_readback_rejects_tampered_raw_payload	postgres_readback_rejects_tampered_raw_payload	0
shard-2	tests::postgres_result_owner_is_atomic_restart_exact_and_rd_locked_read_only	tests::postgres_result_owner_is_atomic_restart_exact_and_rd_locked_read_only	0
shard-2	tests::postgres_result_owner_is_atomic_restart_exact_and_rd_locked_read_only	tests::exploratory_replay_result_http_readback_is_exact_locked_and_rd_read_only	0
shard-2	tests::postgres_result_owner_is_atomic_restart_exact_and_rd_locked_read_only	tests::replay_result_dashboard_read_api_returns_exact_canonical_bytes	0
